Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2024-01-02,184.53208923339844,187.31538170646215,182.79253333369908,186.03307200647276,82488700
2024-01-03,183.150390625,184.77066759112085,182.3352771284137,183.1205708792931,58414500
2024-01-04,180.82435607910156,181.99730650228184,179.80050438167336,181.06291404030495,71983600
2024-01-05,180.09869384765625,181.6692660827433,179.09472708075188,180.90387243418792,62303300
2024-01-08,184.4525604248047,184.49233019548157,180.41679326133186,181.0032684531674,59144500
2024-01-09,184.03506469726562,184.04499955584959,181.63944418662982,182.82234457021028,42841800
2024-01-10,185.0788116455078,185.2875498615879,182.82235486658107,183.24979649333252,46792900
2024-01-11,184.4823760986328,185.93366934185158,182.524132048394,185.42670336710847,49128400
2024-01-12,184.81039428710938,185.62550766060176,184.08475530494994,184.94955813530052,40444700
2024-01-16,182.5341033935547,183.16033324766676,179.8502048243823,181.07287512108522,65603000
2024-01-17,181.58975219726562,181.83826018866833,179.2239664331644,180.18817865322478,47317400
2024-01-18,187.50424194335938,188.01119275141858,184.72094959289208,184.979392426226,78005800
2024-01-19,190.41676330566406,190.8044351704297,187.693125392904,188.20007624137466,68741000
2024-01-22,192.73284912109375,194.16425751836653,191.11257223144145,191.15234200232317,60133900
2024-01-23,194.01513671875,194.58174217570732,192.6732027698961,193.8561031440579,42355600
2024-01-24,193.33920288085938,195.20798769039715,193.18015413797895,194.25371040083746,53631300
2024-01-25,193.0111846923828,195.0986578845498,191.95751323703675,194.0549212884663,54822100
2024-01-26,191.2716064453125,193.5976373302703,190.79447540505197,193.11057143190595,44594000
2024-01-29,190.58575439453125,191.05295065599338,188.44859162482356,190.8640821459055,47145600
2024-01-30,186.91775512695312,190.65532484477694,186.35116482109103,189.80045678886228,55859400
2024-01-31,183.2994842529297,185.98338263365994,183.24979478995033,185.92372797618197,55467800
2024-02-01,185.74481201171875,185.83427124755644,182.72296153753896,182.8919451500293,64885400
2024-02-02,184.74082946777344,186.21199239128737,178.1802130458578,178.78657309445222,102518000
2024-02-05,186.55990600585938,188.120543422021,184.73089088840356,187.02710222804,69668800
2024-02-06,188.17025756835938,188.18019242781668,185.6553578627436,185.74481710103248,43490800
2024-02-07,188.2795867919922,189.9097985097057,187.48435823433906,189.5022417883465,53439000
2024-02-08,187.19610595703125,188.40881099372643,186.23189374257132,188.25971226684047,40962000
2024-02-09,187.9624786376953,189.0971204380579,187.11646725876852,187.76340641648085,45155200
2024-02-12,186.27044677734375,187.78330749959082,185.91213805857674,187.53448242231033,41781900
2024-02-13,184.1703643798828,185.33487911795885,182.64755610649428,184.89694454758455,56529500
2024-02-14,183.2845458984375,184.65806518525375,181.58259087415234,184.44906062504626,54630500
2024-02-15,182.9959259033203,183.62296999377594,180.4977274519665,182.68738521978767,65434500
2024-02-16,181.45321655273438,183.98128811611298,180.81622489348007,182.55800062284032,49701400
